State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Goa,North Goa,Pernem,NH  66,Chopdem Junction  (500 Mtrs),Near Chopdem bridge (250 Mtrs),Agarwada Junction (250 Mtrs),1,4,2,7,1,2,3,6
Goa,South Goa,Ponda,NH 748,Cone Farmagudi (500 Mtrs),Cone Priol (250 Mtrs),Farmagudi out Post  (250 Mtrs),2,3,7,12,1,1,4,6
Goa,South Goa,Vasco,NH 566,Dabolim (1Km),Dabolim Railway Bridge (500 Mtrs),Air Port Junction (500 Mtrs),3,4,5,12,1,2,3,6
Gujarat,Surat rural,kosamba,N.H-48,Pipodara,235,235.5,19,18,29,66,15,13,17,45
Gujarat,"Vadodara
Rural",Varnama,NH,"Por Itola
Chokdi",12,12.5,10,5,15,30,12,5,24,41
Gujarat,Vadodara Rural,Karjan,NH 48,"Near Sansrod
Chokdi",21,21.5,5,7,14,26,8,12,18,38
Gujarat,Vadodara Rural,Karjan,NH 48,"Near
Kandari Chokdi",6,6.5,5,11,9,25,8,14,15,37
Gujarat,Vadodara city,Makarpura,8,"Sundarpura patiya To Ah' bad km.
Jambuva
bridgi",131.5,132,12,12,12,36,7,15,8,30
Gujarat,"Vadodara
Rural",Varnama,NH,"Varsada
Chokdi",4.5,5,5,6,7,18,12,8,10,30
Gujarat,GIR SOMNATH,UNA,NH-51,"NATHEJ VILLAGE
NEAR",4,4.5,4,4,0,8,22,8,0,30
Gujarat,GIR SOMNATH,UNA,NH-51,"NALIYA MANDVI NAGINA DHORA
PASE",10,10.5,4,4,NA,8,22,8,NA,30
Gujarat,Surat rural,kosamba,N.H-48,"Nandavpati
ya",224,224.5,14,17,20,51,11,7,11,29
Gujarat,Vadodara Rural,Karjan,NH 48,Near Bamangam,11.5,12,5,6,7,18,8,11,9,28
Haryana,Sonipat,Murthal,44,Kamaspur Chowk,46.1,46.6,9,9,14,32,10,16,13,39
Haryana,Sonipat,Rai,44,Balgarh Chowk,41.9,42.4,14,10,10,34,11,16,11,38
Haryana,Ambala ,Parao,44,Near Vill. Mohra,191.4,191.85,10,10,11,31,10,8,10,28
Haryana,Ambala ,Parao,44,Shastri cut,197.97,198.47,4,4,9,17,4,8,8,20
Haryana,Sonipat,Kundli,44,Pau Maniyari cut,31.73,32.2,8,4,4,16,10,4,4,18
Haryana,Sonipat,Rai,44,Rai cut,38.82,39.22,5,6,7,18,7,6,5,18
Haryana,Sonipat,Rai,44,Biswan meel,37.36,37.9,5,5,6,16,6,5,6,17
Haryana,Fatehabad,Sadar ,9,Dariyapur,227.2,227.22,6,4,5,15,4,4,8,16
Haryana,Panipat,Chandni Bag,44,Siwah cut,84,84.5,4,6,14,24,3,5,5,13
Haryana,Faridabad,Sec-37,44,NHPC Metro Station,21.7,22.2,1,3,6,10,1,4,5,10
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Tail Control,Humsafar chowk 177/530,Tail Control 177/990,4,2,3,9,9,4,11,24
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Naresh Chowk,Tail Control 177/990,Naresh Chowk 178/255,1,7,3,11,1,12,4,17
Himachal Pradesh,Shimla,Theog,NH-5,Near Dogra Mod Sandhu,178.3,178.5,5,6,4,15,4,3,7,14
Himachal Pradesh,Shimla,Kumarsain,NH-5,Singhapur,252.9,253.26,2,4,1,7,3,6,2,11
Himachal Pradesh,Shimla,New Shimla,NH-5,Mist Chamber Crossing to Khalini Bifurcation ,146.2,146.7,2,2,3,7,6,2,3,11
Himachal Pradesh,Baddi,Baddi,NH/105,Kishanpura,24/600,25/100,10,5,NA,15,7,3,NA,10
Himachal Pradesh,Shimla,Kumarsain,NH-5,Reddi Khad,208.5,209,2,4,1,7,3,6,1,10
Himachal Pradesh,Kangra,Shahpur,NH 154,Sarnu near water kuhal ,63/735,63/885,2,4,2,8,2,5,2,9
Himachal Pradesh,Kangra,Indora,NH 44,Mohtali ramp,104/740,104/760,2,3,3,8,3,3,3,9
Himachal Pradesh,Baddi,Baddi,NH/105,Bhud,22/400,22/900,9,11,NA,20,3,6,NA,9
