S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2018-19,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2016-17,Average Fleet Operated (Number) - 2018-19,Average Fleet Operated (Number) - 2017-18,Average Fleet Operated (Number) - 2016-17,Fleet Utilisation (%) - 2018-19,Fleet Utilisation (%) - 2017-18,Fleet Utilisation (%) - 2016-17,Avg Age of Fleet (Years) - 2018-19,Avg Age of Fleet (Years) - 2017-18,Avg Age of Fleet (Years) - 2016-17,Over aged vehicles (%) - 2018-19,Over aged vehicles (%) - 2017-18,Over aged vehicles (%) - 2016-17,Fuel Efficiency (Km per Kg of CNG) - 2018-19,Fuel Efficiency (Km per Kg of CNG) - 2017-18,Fuel Efficiency (Km per Kg of CNG) - 2016-17,Fuel Efficiency (Km per litre of HSD) - 2018-19,Fuel Efficiency (Km per litre of HSD) - 2017-18,Fuel Efficiency (Km per litre of HSD) - 2016-17,Effective Kilometres (Lakh) [Revenue Earning Kilometers (Lakh)] - 2018-19,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2017-18,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2016-17,Staff Strength (Number) - 2018-19,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2016-17,Staff/Bus Ratio - 2018-19,Staff/Bus Ratio - 2017-18,Staff/Bus Ratio - 2016-17,Staff Productivity (Kms/Staff/Day) - 2018-19,Staff Productivity (Kms/Staff/Day) - 2017-18,Staff Productivity (Kms/Staff/Day) - 2016-17,Vehicle Productivity (Kms/Bus/Day) - 2018-19,Vehicle Productivity (Kms/Bus/Day) - 2017-18,Vehicle Productivity (Kms/Bus/Day) - 2016-17,Passenger Kilometres Offered (Lakh) - 2018-19,Passenger Kilometres Offered (Lakh) - 2017-18,Passenger Kilometres Offered (Lakh) - 2016-17,Passenger KMS Performed (Lakh) - 2018-19,Passenger KMS Performed (Lakh) - 2017-18,Passenger KMS Performed (Lakh) - 2016-17,Occupancy Ratio (%) - 2018-19,Occupancy Ratio (%) - 2017-18,Occupancy Ratio (%) - 2016-17,Passengers Carried (Lakh) - 2018-19,Passengers Carried (Lakh) - 2017-18,Passengers Carried (Lakh) - 2016-17,Passengers carried per Bus/Day (Number) - 2018-19,Passengers carried per Bus/Day (Number) - 2017-18,Passengers carried per Bus/Day (Number) - 2016-17
51,Kalyan Dombivali MT,216,216,169,73,72,62,33.80,33.33,36.69,4.95,3.95,3.27,4.62,4.62,NA,NA,NA,NA,3.26,3.28,3.34,40.35,48.94,52.66,558.00,498.00,560.00,2.58,2.31,3.31,19.81,26.92,25.76,51.18,62.08,85.37,2421.00,2936.00,3159.60,1452.60,1703.11,1864.16,60.00,58.01,59.00,128.07,145.64,147.20,162.44,184.73,238.63
NA,Total Muncipal undertakings,7646,8030,8166,5946,6222,6364,77.77,77.48,77.93,6.58,6.17,6.60,10.19,17.04,16.82,2.95,3.11,3.12,2.88,2.89,3.01,4027.44,4355.27,4556.29,49436.00,51536.00,53745.00,6.47,6.42,6.58,22.32,23.15,23.23,144.31,148.60,152.87,201175.57,224289.60,238784.74,115780.43,128294.49,133295.43,57.55,57.20,55.82,15794.62,17419.45,18262.43,565.96,594.33,612.71
52,DELHI INTEGRATED MTS,1679,1648,1552,1618,1557,1362,96.37,94.48,87.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1245.99,1157.49,1041.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.32,192.43,183.90,74759.17,69449.26,62505.59,65882.26,59179.47,49152.98,88.13,85.21,78.64,4469.31,4250.79,3742.59,729.28,706.67,660.67
NA,Total Associate members,1679,1648,1552,1618,1557,1362,96.37,94.48,87.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1245.99,1157.49,1041.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.32,192.43,183.90,74759.17,69449.26,62505.59,65882.26,59179.47,49152.98,88.13,85.21,78.64,4469.31,4250.79,3742.59,729.28,706.67,660.67
53,Agra - Mathura City TSL,230,230,230,208,209,211,90.43,90.87,91.74,10.00,9.00,8.00,100.00,64.00,0.00,5.69,5.89,5.96,5.59,5.72,5.64,106.79,103.72,99.91,586.00,567.00,540.00,2.55,2.47,2.35,49.93,50.12,50.69,127.21,123.55,119.01,126.39,116.25,101.04,106.79,103.72,99.91,84.49,89.22,98.88,81.77,93.95,90.01,97.40,111.91,107.22
54,Jaipur City TS Ltd.,405,508,408,304,256,236,75.06,50.39,57.84,6.04,5.62,5.11,NA,NA,NA,NA,NA,NA,2.96,2.82,2.97,252.09,179.27,211.60,1195.00,1119.00,1119.00,2.95,2.20,2.74,57.80,43.89,51.81,170.53,96.68,142.09,252.09,179.27,211.60,214.89,161.77,193.90,85.24,90.24,91.64,1.71,1.49,1.52,1.16,0.80,1.02
55,MEERUT CITY TSL,126,126,126,79,79,80,62.70,62.70,63.49,9.00,8.00,7.00,NA,NA,NA,NA,NA,NA,4.40,4.40,4.50,17.00,16.00,13.00,445.00,454.00,453.00,3.53,3.60,3.60,10.47,9.66,7.86,36.96,34.79,28.27,89.00,89.00,88.00,72.00,73.00,75.00,80.90,82.02,85.23,96.00,102.00,103.00,208.74,221.79,223.96
56,KANPUR CITY TSL,270,270,270,228,202,158,84.44,74.81,58.52,9.00,8.00,7.00,NA,NA,NA,4.52,4.54,4.65,NA,NA,NA,73.94,60.24,11.17,305.00,258.00,241.00,1.13,0.96,0.89,66.42,63.97,12.70,75.03,61.13,11.33,151.38,134.11,80.25,77.44,73.87,69.08,51.16,55.08,86.08,59.27,70.14,85.10,60.14,71.17,86.35
NA,Total Special Purpose Vehicle,1031,1134,1034,819,746,685,79.44,65.78,66.25,8.51,7.66,6.78,100.00,64.00,0.00,5.11,5.22,5.31,4.32,4.31,4.37,449.82,359.23,335.68,2531.00,2398.00,2353.00,2.45,2.11,2.28,48.69,41.04,39.09,119.53,86.79,88.94,618.86,518.63,480.89,471.12,412.36,437.89,76.13,79.51,91.06,238.75,267.58,279.63,63.44,64.65,74.09
NA,Total (Reporting SRTUs),152357,151880,149713,134981,135756,134446,88.60,89.38,89.80,6.98,6.64,6.62,33.47,30.86,27.52,3.52,3.60,3.38,4.19,4.19,4.21,165775.37,167480.74,167008.40,709232.00,725358.00,740156.00,4.66,4.78,4.94,64.04,63.26,61.82,298.10,302.11,305.62,8479117.40,8597651.22,8690608.94,5993474.67,6160952.31,5984787.73,70.69,71.66,68.86,241941.76,254221.45,254060.35,435.07,458.58,464.93
